latitude,longitude,HWSD2_SMU_ID
27.72818,9.872,36
28.63288,9.77909,1796
28.64012,9.77953,1796
36.74886,6.25409,7001
35.87978,4.44782,7001
35.70751,5.53337,1238
32.27667,3.98647,1821
32.40079,4.00642,1821
32.4026,4.00461,1821
32.55605,3.1675,1821
32.74046,3.17942,1315
32.74119,3.17515,1315
32.74716,3.18104,1315
32.13579,6.46961,1642
32.93067,3.24417,1315
32.93215,3.23561,1315
32.93437,3.2228,1315
32.93624,3.23216,1315
32.94369,3.22952,1315
32.94704,3.23033,1315
32.35563,6.9763,1645
33.12337,3.31486,1821
33.12598,3.31998,1821
33.13417,3.31306,1315
33.13528,3.36712,1821
34.43677,2.05904,1840
34.97971,5.71668,1834
34.98327,5.71761,1834
35.09597,5.64546,1834
35.34997,5.76073,1832
31.70512,5.95919,1315
31.84843,6.0519,1315
31.78981,6.06511,1315
31.79963,6.05609,1315
31.78601,6.0641,1315
31.79801,6.05424,1315
31.78825,6.06328,1315
31.23521,8.56432,36
31.84953,6.04638,1315
31.75166,5.2251,1315
31.39904,6.93242,36
29.69882,6.71255,36
29.69562,6.70719,36
29.6974,6.69869,36
29.69651,6.70294,36
29.69243,6.70183,36
29.68925,6.69647,36
28.92072,9.74437,1796
28.73747,9.78797,1796
28.63827,9.78546,1796
28.6333,9.78395,1796
28.73248,9.15042,1819
29.2682,6.48823,1791
28.70989,9.03393,1819
29.69971,6.70831,36
28.7062,8.93795,1819
28.70147,8.93656,1819
28.52903,9.12015,1796
28.45086,9.13752,1796
28.46392,9.05723,1796
28.61929,7.70522,1819
28.63729,7.53669,1819
28.68339,7.19145,1819
28.68242,7.19613,1819
28.19791,9.39581,1796
28.61346,7.5019,1819
28.57648,7.65394,1819
28.12826,9.49323,1796
28.5602,7.51296,1819
28.55914,7.5179,1819
28.56201,7.46161,1819
28.60102,7.25873,1819
28.47,7.50608,1819
27.92719,9.24999,1796
27.92231,9.2485,1796
27.92769,9.10647,1796
27.7249,9.87571,36
27.76221,9.19076,1796
27.75061,9.15021,1796
27.73354,9.17904,1796
27.70352,9.17321,1796
27.7033,9.17174,1796
27.91985,7.86009,36
27.41231,8.83701,1796
