latitude,longitude,GRIDCODE
27.72818,9.872,201.0
28.63288,9.77909,201.0
28.64012,9.77953,201.0
36.74886,6.25409,30.0
35.87978,4.44782,200.0
35.70751,5.53337,134.0
32.27667,3.98647,201.0
32.40079,4.00642,200.0
32.4026,4.00461,201.0
32.55605,3.1675,200.0
32.74046,3.17942,200.0
32.74119,3.17515,200.0
32.74716,3.18104,200.0
32.13579,6.46961,202.0
32.93067,3.24417,201.0
32.93215,3.23561,200.0
32.93437,3.2228,201.0
32.93624,3.23216,200.0
32.94369,3.22952,200.0
32.94704,3.23033,201.0
32.35563,6.9763,202.0
33.12337,3.31486,201.0
33.12598,3.31998,200.0
33.13417,3.31306,201.0
33.13528,3.36712,201.0
34.43677,2.05904,151.0
34.97971,5.71668,200.0
34.98327,5.71761,151.0
35.09597,5.64546,150.0
35.34997,5.76073,200.0
31.70512,5.95919,200.0
31.84843,6.0519,200.0
31.78981,6.06511,200.0
31.79963,6.05609,200.0
31.78601,6.0641,200.0
31.79801,6.05424,200.0
31.78825,6.06328,200.0
31.23521,8.56432,202.0
31.84953,6.04638,200.0
31.75166,5.2251,202.0
31.39904,6.93242,202.0
29.69882,6.71255,201.0
29.69562,6.70719,201.0
29.6974,6.69869,201.0
29.69651,6.70294,201.0
29.69243,6.70183,201.0
29.68925,6.69647,201.0
28.92072,9.74437,201.0
28.73747,9.78797,201.0
28.63827,9.78546,201.0
28.6333,9.78395,201.0
28.73248,9.15042,201.0
29.2682,6.48823,201.0
28.70989,9.03393,201.0
29.69971,6.70831,201.0
28.7062,8.93795,201.0
28.70147,8.93656,201.0
28.52903,9.12015,201.0
28.45086,9.13752,201.0
28.46392,9.05723,201.0
28.61929,7.70522,201.0
28.63729,7.53669,201.0
28.68339,7.19145,201.0
28.68242,7.19613,201.0
28.19791,9.39581,201.0
28.61346,7.5019,201.0
28.57648,7.65394,201.0
28.12826,9.49323,201.0
28.5602,7.51296,201.0
28.55914,7.5179,201.0
28.56201,7.46161,200.0
28.60102,7.25873,201.0
28.47,7.50608,201.0
27.92719,9.24999,201.0
27.92231,9.2485,201.0
27.92769,9.10647,201.0
27.7249,9.87571,201.0
27.76221,9.19076,201.0
27.75061,9.15021,201.0
27.73354,9.17904,201.0
27.70352,9.17321,201.0
27.7033,9.17174,201.0
27.91985,7.86009,201.0
27.41231,8.83701,201.0
28.71432,8.9467,200.0
29.7029,6.71368,201.0
30.17934,7.68954,202.0
30.47348,7.02693,202.0
30.47437,7.0226,202.0
30.25524,8.0843,202.0
30.38988,7.90536,202.0
30.87713,5.64268,200.0
30.87562,5.64428,201.0
30.87671,5.63885,201.0
30.97568,5.7629,201.0
30.97846,5.75932,201.0
31.39504,6.93131,202.0
30.83637,6.5591,201.0
30.66454,8.1024,202.0
31.1876,6.78554,201.0
31.35859,6.05296,201.0
31.36055,6.04889,201.0
31.40405,5.97241,202.0
31.40786,5.97344,202.0
31.00775,8.17193,202.0
31.01418,8.16331,202.0
31.056,8.0315,202.0
31.05498,8.03631,202.0
31.49636,5.84262,200.0
31.01514,8.16122,202.0
31.05674,8.03461,202.0
31.39296,6.94102,201.0
31.39465,6.93273,201.0
31.58964,5.95465,200.0
31.5914,5.95655,200.0
31.3933,6.93957,202.0
31.70663,5.95864,200.0
31.66706,6.0587,200.0
31.66435,6.05212,201.0
31.66325,6.05771,200.0
31.66216,6.06329,200.0
31.64875,5.98937,200.0
31.64387,5.99386,200.0
27.79832,0.4631,201.0
27.40952,8.83786,201.0
27.75013,9.15178,201.0
27.74744,9.15303,201.0
27.76042,9.19278,201.0
