HWSD2_SMU_ID,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
31816,11,40,41,19,9.0,M,1.4700000286102295,1.690000057220459,2.0370001792907715,5.300000190734863,1.5399999618530273,14.0,11,26,6.0,5.0,47,21,1,0.0,0.10000000149011612,0
31801,11,40,41,19,9.0,M,1.4700000286102295,1.690000057220459,2.0370001792907715,5.300000190734863,1.5399999618530273,14.0,11,26,6.0,5.0,47,21,1,0.0,0.10000000149011612,0
31802,11,40,41,19,9.0,M,1.4700000286102295,1.690000057220459,2.0370001792907715,5.300000190734863,1.5399999618530273,14.0,11,26,6.0,5.0,47,21,1,0.0,0.10000000149011612,0
1694,7,89,5,6,12.0,C,1.3899999856948853,1.340000033378601,0.242000013589859,6.900000095367432,0.2199999988079071,11.0,4,47,5.0,4.0,89,0,2,4.400000095367432,0.10000000149011612,0
32050,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
32034,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
32016,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
32049,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
31996,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
31962,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
31978,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
32032,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
32019,9,88,6,6,12.0,C,1.6200000047683716,1.340000033378601,0.2549999952316284,8.0,0.25999999046325684,10.0,5,52,12.0,12.0,100,0,2,5.800000190734863,0.10000000149011612,0
32011,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0
32037,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0
31904,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0
