K,n_sampling,n_sampling_iter,max_iter,algorithm,best_cost,CH,DBI,AvgMedoidDist
3,40,3,300,clara,2682654.5846028035,120462.62468995062,2.135015756638804,3.647473272125669
3,40,5,300,clara,2708921.501395338,110730.51966151982,2.000122842763498,3.6831871047941807
3,80,3,300,clara,2687862.6247793958,112918.4515553314,2.083925920700645,3.6545543877688482
3,80,5,300,clara,2656006.594102788,115023.00763441621,2.056332589642127,3.611241312311485
5,40,3,300,clara,2477602.7733052946,106805.17972067917,1.721913881274838,3.3686744266084934
5,40,5,300,clara,2457323.267477299,87699.63006356634,2.2304391352491093,3.3411013816462094
5,80,3,300,clara,2576168.3826701525,76523.27546042911,2.1620561743878985,3.502689229622102
5,80,5,300,clara,2417041.7466387916,101805.65755073862,1.9504990163734,3.2863325823150116
7,40,3,300,clara,2239810.645795801,90088.00566492612,1.688844688701907,3.0453601861576693
7,40,5,300,clara,2313702.290492413,77878.9882661861,2.0853536698926156,3.145827015026062
7,80,3,300,clara,2262259.713855531,102985.07346026052,1.537186378689579,3.075883077998446
7,80,5,300,clara,2259321.1998960827,93340.31373046048,1.7150111090804052,3.071887725339787
9,40,3,300,clara,2214624.692418003,79587.46145247997,1.7284630848544278,3.011116086188264
9,40,5,300,clara,2237287.851830918,92959.77965431342,1.522963112502383,3.0419300674943104
9,80,3,300,clara,2178894.234830688,80079.35718032507,1.729043522545175,2.962535143342114
9,80,5,300,clara,2112576.5629291995,105583.02154707834,1.50845525664884,2.872366272135725
11,40,3,300,clara,2106799.30516551,87732.93277355921,1.6213493473226939,2.8645112193830586
11,40,5,300,clara,2112428.5179221528,84406.98778668123,1.4749107406564568,2.872164982633389
11,80,3,300,clara,2057326.3565039434,95131.0009312269,1.4746087332534215,2.7972452884756596
11,80,5,300,clara,1990910.8875030952,104786.4120035047,1.579141909962356,2.7069434473714487
13,40,3,300,clara,2048578.649570681,78474.77207424742,1.5762556847546447,2.785351462332482
13,40,5,300,clara,1961182.9552664328,92438.88218661248,1.4789240636559766,2.666523842517683
13,80,3,300,clara,2056973.8001445625,81150.35307513748,1.5065830627643928,2.7967659349632314
13,80,5,300,clara,1993124.8707013626,77542.09231921268,1.4918338851230988,2.709953691249645
15,40,3,300,clara,1870367.0041113605,100697.6643898792,1.441036357440562,2.5430458679688863
15,40,5,300,clara,1905056.8555446581,98931.31933045184,1.5601860480981935,2.590211949895046
15,80,3,300,clara,1919961.2928779454,82794.80836867378,1.5283867866332983,2.610476779039006
15,80,5,300,clara,1836285.3297809423,100989.53394036143,1.4924019745085604,2.496706694486402
17,40,3,300,clara,1825414.0055652787,81644.04831808143,1.6998453969721847,2.481925490548767
17,40,5,300,clara,1874579.1000979913,93753.85979704012,1.5725768937220703,2.548772847364237
17,80,3,300,clara,1873448.9009887262,88432.6834129191,1.6173617440636487,2.5472361713169795
17,80,5,300,clara,1796481.6050514989,100197.73503628452,1.4694614797473937,2.442587530985079
19,40,3,300,clara,1807757.788327575,85419.87238175902,1.736639046041687,2.4579192018409333
19,40,5,300,clara,1798965.393258521,89858.87943078905,1.4660504005766413,2.445964615441174
19,80,3,300,clara,1821043.14497465,84924.31643576587,1.5276278171528552,2.4759826467432284
19,80,5,300,clara,1830676.6484379699,87195.03102966885,1.5659277059761962,2.4890808467877164
