K,init,algorithm,CH,DBI,WCSS_per_point
3,k-means++,minibatch_kmeans,128841.3134564873,1.8649149955337982,12.246133498471568
4,k-means++,minibatch_kmeans,121373.9462314796,1.812302450397581,11.06088973367554
5,k-means++,minibatch_kmeans,110164.01791083688,1.8291091890264155,10.339692793642955
6,k-means++,minibatch_kmeans,97400.57835769281,1.6513817032946967,9.941412578701431
7,k-means++,minibatch_kmeans,110730.56192050256,1.5728685091181887,8.689113405651126
8,k-means++,minibatch_kmeans,112574.03214989702,1.369200296244223,7.9798275523394295
9,k-means++,minibatch_kmeans,118917.18598754243,1.4128544743779878,7.206174988496411
10,k-means++,minibatch_kmeans,117905.60583138056,1.3558131221458791,6.76733985277908
11,k-means++,minibatch_kmeans,114144.78850504858,1.3504477725794297,6.486347077917
12,k-means++,minibatch_kmeans,114914.3414690753,1.3915397034070338,6.095197366947206
13,k-means++,minibatch_kmeans,110063.87543437006,1.4332898273969585,5.912141233330813
14,k-means++,minibatch_kmeans,103466.71017593685,1.4681506664201296,5.8874760312783065
15,k-means++,minibatch_kmeans,110712.1464070026,1.420619296886065,5.337018773257145
16,k-means++,minibatch_kmeans,102168.23075715706,1.4631892586937354,5.3693375304558355
17,k-means++,minibatch_kmeans,110145.2653092142,1.3653342110504414,4.868572954061931
18,k-means++,minibatch_kmeans,106971.66953031538,1.3866166683493661,4.764955529483601
19,k-means++,minibatch_kmeans,102766.81759831666,1.3739581986310847,4.702365164399016
20,k-means++,minibatch_kmeans,103438.14933409807,1.4239648104688705,4.501475439579912
21,k-means++,minibatch_kmeans,99029.05868602972,1.4638797302323308,4.483964102342255
22,k-means++,minibatch_kmeans,95889.59752534055,1.3957798034352988,4.42224280309968
23,k-means++,minibatch_kmeans,94383.77701700857,1.3719553878212412,4.326382532618808
24,k-means++,minibatch_kmeans,91636.93175989806,1.4237320257179693,4.277428256244202
25,k-means++,minibatch_kmeans,90736.3862381932,1.4509313829170412,4.182654396173352
26,k-means++,minibatch_kmeans,89462.57644369287,1.5397614370378538,4.094724192745775
27,k-means++,minibatch_kmeans,88216.80510640367,1.5224864127458302,4.017160678048115
28,k-means++,minibatch_kmeans,88576.33331572088,1.5152245947420078,3.889214708121293
29,k-means++,minibatch_kmeans,84397.8828657684,1.4934167715985773,3.92968119524427
30,k-means++,minibatch_kmeans,84196.60397818407,1.460446946067213,3.8291837326931897
31,k-means++,minibatch_kmeans,83005.93294605802,1.5648289970762213,3.797588267299889
32,k-means++,minibatch_kmeans,80327.12174952986,1.565016338187991,3.7789585303214004
33,k-means++,minibatch_kmeans,84202.63396728365,1.4163933181520871,3.544834676962133
34,k-means++,minibatch_kmeans,79601.82082858025,1.537574553719414,3.6231696300378804
35,k-means++,minibatch_kmeans,82639.21804289338,1.4799167107791418,3.4289912515427052
36,k-means++,minibatch_kmeans,77350.9010033007,1.5031247161975967,3.5388889284388796
37,k-means++,minibatch_kmeans,81747.80897391813,1.3991180545049056,3.3058857557320174
38,k-means++,minibatch_kmeans,74064.97301955044,1.4486279073472321,3.5118298106755677
39,k-means++,minibatch_kmeans,79042.92737989062,1.4230256751471713,3.2520285677222858
40,k-means++,minibatch_kmeans,80005.05294735995,1.4346966058315116,3.1533933292649743
41,k-means++,minibatch_kmeans,70246.73947197254,1.5583003467340777,3.4370842425084738
42,k-means++,minibatch_kmeans,74045.70176854385,1.4643144690366567,3.233025804883976
43,k-means++,minibatch_kmeans,75151.76924748418,1.436156030716269,3.1274866187914645
44,k-means++,minibatch_kmeans,75070.33041942545,1.4650448090066008,3.069916101001794
45,k-means++,minibatch_kmeans,74110.51216851469,1.4750601883930758,3.055545395872051
46,k-means++,minibatch_kmeans,73234.33858385244,1.4032787268600284,3.01884974683068
47,k-means++,minibatch_kmeans,72889.57480025728,1.4031094380327633,2.974189682684377
48,k-means++,minibatch_kmeans,75102.52932752651,1.374200864551133,2.852826537515977
49,k-means++,minibatch_kmeans,73898.10809887544,1.3734166973435296,2.8425880739022653
50,k-means++,minibatch_kmeans,69365.19999773389,1.4992368171873287,2.9473659839716833
